fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.9,0.142,0.216,3.17,0.078,20.8,12.1,0.997353,3.191,0.716,8.95,8
8.6,0.482,0.316,0.62,0.102,13.9,21.9,0.998596,3.432,0.58,9.71,4
8.8,0.425,0.544,2.5,0.044,32.3,46.9,0.997655,3.069,0.625,11.26,8
7.67,0.251,0.262,3.21,0.109,11.5,55.8,0.998323,3.4,0.858,10.63,6
5.31,0.612,0.461,2.15,0.07,17.8,25.9,0.99741,3.389,0.9,10.33,3
8.86,0.449,0.475,4.01,0.049,22.3,49.0,0.997028,3.612,0.452,9.36,7
11.24,0.336,0.226,5.74,0.077,6.7,66.5,0.995743,3.467,0.625,10.03,3
5.69,0.43,0.383,1.17,0.071,15.1,111.0,0.998245,3.365,0.803,11.14,6
9.77,0.723,0.224,1.07,0.076,13.1,42.3,0.998647,3.514,0.98,10.9,5
7.74,0.639,0.521,1.27,0.12,10.5,45.1,0.99658,3.391,0.963,9.92,3
8.2,0.507,0.391,4.75,0.06,11.3,96.8,0.996478,3.241,0.525,8.0,6
6.51,0.641,0.044,3.96,0.148,27.6,28.4,0.999724,3.138,0.877,9.73,5
7.73,0.321,0.301,2.31,0.041,9.6,6.0,0.996661,3.225,0.67,9.92,3
10.51,0.536,0.583,2.55,0.144,21.8,54.7,0.996844,3.304,0.838,9.49,6
9.29,0.557,0.236,1.36,0.051,19.2,81.9,0.99762,3.336,0.794,9.99,3
11.24,0.445,0.355,3.75,0.087,1.2,58.4,0.996514,2.99,0.445,11.22,6
10.3,0.608,0.374,1.97,0.07,21.4,43.3,0.995141,3.277,0.753,10.36,4
9.05,0.39,0.073,2.14,0.075,1.1,6.0,0.997418,3.314,0.831,11.39,7
11.26,0.622,0.367,3.35,0.115,22.5,44.6,0.996626,3.392,0.657,8.89,8
9.05,0.629,0.005,2.24,0.139,10.6,87.1,1.0002,3.554,0.618,10.09,8
9.71,0.08,0.151,2.17,0.129,16.0,6.0,0.998198,3.338,0.393,8.46,8
7.8,0.744,0.474,2.51,0.073,2.3,38.4,0.995569,3.174,0.776,9.97,3
8.41,0.08,0.338,3.61,0.093,17.2,33.8,0.998085,3.037,0.695,9.35,6
7.11,0.419,0.212,4.81,0.06,25.6,23.5,0.997285,3.413,0.503,11.68,4
9.98,0.715,0.355,3.32,0.052,7.4,54.7,0.999188,3.18,0.605,10.81,3
6.3,0.473,0.259,3.62,0.047,9.5,61.1,0.995704,3.44,0.686,11.41,5
9.63,0.266,0.272,2.22,0.072,20.7,60.7,0.997058,3.52,0.565,9.97,5
7.98,0.333,0.395,1.51,0.096,20.9,14.4,0.996512,3.078,0.66,9.38,4
10.29,0.715,0.132,3.42,0.02,9.7,7.7,0.996811,3.393,0.363,9.35,3
9.58,0.184,0.278,2.74,0.085,37.1,55.1,0.995018,3.504,0.889,10.67,5
11.4,0.733,0.211,0.6,0.14,21.4,29.9,0.997794,3.463,0.663,12.21,3
9.54,0.52,0.031,2.04,0.126,23.2,107.0,0.997494,2.996,0.473,10.81,3
5.63,0.315,0.095,2.38,0.067,14.4,108.5,0.999142,3.182,0.242,10.03,5
8.19,0.425,0.568,1.79,0.038,3.6,112.0,0.996681,3.118,0.835,10.21,3
6.31,0.347,0.343,4.57,0.103,23.0,15.6,0.995918,3.389,0.755,10.37,8
7.42,0.686,0.019,3.17,0.012,10.0,65.2,0.9982,3.372,0.696,12.43,8
10.87,0.662,0.023,4.42,0.126,21.6,75.2,0.995191,2.905,0.807,11.63,8
9.38,0.221,0.249,2.87,0.08,13.6,71.4,0.998761,3.265,0.806,10.66,3
7.11,0.457,0.567,2.61,0.151,18.4,34.8,0.998757,3.43,0.693,10.51,5
6.58,0.375,0.235,1.19,0.027,7.8,88.6,0.999089,3.332,0.617,10.7,7
8.36,0.763,0.518,2.52,0.119,25.0,46.5,0.997416,3.332,0.589,10.89,6
6.23,0.287,0.337,2.52,0.083,3.4,50.7,0.995776,3.255,0.732,9.99,4
7.16,0.819,0.36,0.6,0.075,39.5,6.0,0.996907,3.151,0.897,9.56,7
8.83,0.524,0.016,1.74,0.039,39.4,67.7,0.997422,3.307,0.643,11.43,4
10.26,0.321,0.448,2.05,0.108,33.0,37.9,0.995636,3.318,0.911,10.42,8
9.33,0.408,0.206,3.08,0.111,29.3,61.8,0.999233,3.402,0.723,11.35,3
4.4,0.386,0.434,3.15,0.149,15.0,54.2,0.997802,3.414,0.725,12.05,7
8.82,0.301,0.115,1.69,0.122,28.1,52.5,0.995005,3.323,1.069,10.92,3
8.42,0.547,0.304,3.16,0.066,14.9,45.0,1.000277,3.474,0.941,10.76,8
9.0,0.309,0.337,2.25,0.052,1.0,72.4,0.996885,3.254,0.945,13.6,5
11.05,0.138,0.241,1.52,0.039,31.7,40.0,0.994621,3.093,0.524,10.61,3
4.79,0.462,0.347,1.82,0.139,27.8,6.0,0.995123,3.382,1.033,9.31,8
7.3,0.205,0.219,4.01,0.06,15.6,65.2,0.999527,3.329,0.646,10.12,8
9.3,0.395,0.147,0.6,0.139,3.0,19.9,1.000167,3.385,0.621,11.95,8
5.61,0.366,0.575,2.66,0.105,9.7,6.0,0.998618,3.12,0.293,9.11,5
10.81,0.373,0.469,4.72,0.099,3.2,12.9,0.999207,3.579,0.715,9.65,3
8.93,0.89,0.125,1.44,0.076,25.8,55.8,0.999012,3.417,0.476,11.51,4
9.74,0.54,0.378,2.5,0.11,1.0,43.3,0.997758,3.267,0.729,10.13,3
7.33,0.574,0.129,0.67,0.086,18.9,23.7,0.997325,3.17,0.463,10.29,3
9.68,0.21,0.045,4.78,0.074,7.0,33.9,0.997726,3.472,0.966,11.47,3
10.12,0.412,0.466,2.38,0.111,1.0,85.0,0.998098,3.145,0.754,9.68,6
8.7,0.569,0.054,2.57,0.082,18.4,31.7,0.995291,3.649,1.048,8.93,7
8.7,0.346,0.446,4.4,0.059,12.4,41.1,0.998091,3.218,0.486,9.01,6
8.76,0.693,0.222,3.43,0.108,24.7,80.8,0.999471,3.568,0.923,10.98,4
6.83,0.314,0.23,1.27,0.085,2.6,72.7,0.996308,3.282,0.354,10.66,6
8.05,0.478,0.348,1.59,0.104,7.9,80.1,0.996105,3.547,0.695,9.71,4
8.04,0.425,0.38,3.19,0.071,9.2,44.7,0.997605,3.2,0.553,9.24,5
8.95,0.56,0.113,1.63,0.045,7.0,103.5,0.995466,3.313,0.584,10.13,8
10.0,0.415,0.406,0.6,0.148,34.8,67.4,0.994198,3.431,0.572,11.52,3
6.5,0.481,0.292,2.43,0.141,37.8,127.5,0.998881,3.409,0.504,9.56,8
8.09,0.487,0.031,0.6,0.118,16.9,20.8,0.995843,3.475,0.446,9.74,4
10.82,0.398,0.238,4.76,0.073,7.2,11.5,0.996735,3.237,0.585,9.21,7
7.04,0.617,0.532,2.75,0.076,12.8,46.7,0.995541,3.323,0.68,10.03,4
6.9,0.573,0.589,1.23,0.135,25.1,37.4,0.999126,3.497,0.858,10.74,3
8.64,0.514,0.406,1.52,0.075,10.5,68.0,0.998321,3.204,0.71,12.52,5
9.74,0.453,0.044,0.6,0.065,18.4,81.9,0.996243,3.396,0.858,10.62,5
8.32,0.673,0.363,0.96,0.153,15.8,43.6,0.994458,3.277,0.409,10.35,6
10.56,0.488,0.432,3.92,0.085,9.9,38.6,0.996041,3.341,0.586,11.26,4
9.76,0.475,0.408,5.62,0.149,10.4,63.7,0.997783,3.323,0.781,11.1,8
9.73,0.549,0.419,3.52,0.038,19.0,38.1,0.997058,3.192,0.718,9.82,7
9.24,0.835,0.339,2.37,0.105,5.6,35.3,0.996907,3.271,0.514,12.7,8
12.26,0.289,0.256,1.9,0.159,20.6,80.6,0.997102,3.332,0.819,10.38,7
7.95,0.669,0.154,1.16,0.088,10.9,87.9,0.998142,3.295,0.57,10.64,7
4.89,0.189,0.091,5.38,0.078,17.2,82.2,0.99662,3.546,0.528,10.95,3
11.03,0.569,0.335,2.24,0.046,30.4,41.0,0.997555,3.461,0.743,10.75,6
7.52,0.814,0.305,5.46,0.125,14.1,23.9,0.994825,3.353,0.661,11.93,8
8.48,0.618,0.376,4.45,0.06,25.6,41.6,1.001552,3.196,0.571,9.81,3
10.53,0.561,0.016,0.6,0.084,2.9,21.6,0.996161,3.186,0.565,11.18,5
5.58,0.429,0.393,1.57,0.044,11.0,42.2,0.997087,3.606,0.478,10.56,4
6.17,0.536,0.66,1.56,0.141,16.2,24.4,0.997776,3.159,0.593,11.38,7
5.58,0.485,0.285,2.39,0.127,36.1,45.8,0.995919,3.327,0.847,10.19,8
6.95,0.389,0.258,2.42,0.086,4.7,12.3,0.996715,3.364,0.702,10.05,3
9.05,0.478,0.329,6.69,0.047,14.9,6.0,0.996692,3.263,0.823,11.13,7
9.19,0.566,0.656,0.99,0.141,31.2,86.7,0.994963,3.16,0.748,10.76,5
8.77,0.392,0.076,2.82,0.074,7.7,14.6,0.997533,3.192,0.556,9.58,8
5.9,0.385,0.309,3.36,0.048,13.7,46.5,0.993566,3.228,0.38,11.75,3
4.37,0.285,0.118,2.5,0.025,19.4,77.9,1.00003,3.204,0.502,11.13,4
8.39,0.6,0.166,2.65,0.064,17.8,76.6,0.998207,3.509,0.546,10.33,7
7.5,0.628,0.261,1.04,0.036,32.3,72.7,0.997914,3.309,0.533,9.93,7
9.08,0.572,0.526,2.65,0.065,20.6,56.5,0.9934,3.231,0.827,10.76,3
9.49,0.704,0.612,3.22,0.113,29.8,70.3,0.995194,3.326,0.825,11.06,3
8.54,0.546,0.355,2.96,0.074,12.1,91.7,0.99934,3.41,1.036,8.81,5
9.59,0.601,0.198,3.3,0.099,8.1,60.5,1.004587,3.258,0.53,10.78,3
8.69,0.585,0.744,4.48,0.062,13.5,13.9,0.99897,3.445,0.932,11.05,7
9.2,0.514,0.189,3.81,0.089,3.7,29.1,0.99867,3.119,0.931,8.05,7
7.1,0.434,0.161,2.6,0.154,21.0,69.4,0.997697,3.486,0.621,10.6,7
7.99,0.929,0.067,0.86,0.075,11.8,25.9,0.99509,3.309,0.741,11.09,5
8.63,0.449,0.535,1.66,0.1,8.8,99.8,0.998591,3.303,0.871,10.98,6
9.69,0.41,0.454,2.19,0.032,21.1,44.4,0.994608,3.206,0.65,11.2,6
7.63,0.608,0.729,2.85,0.14,3.9,49.3,0.9944,3.126,0.637,10.07,7
9.19,0.575,0.006,1.83,0.07,24.0,83.5,0.99428,3.06,0.553,9.36,5
7.85,0.277,0.547,1.19,0.124,10.9,40.5,0.998554,3.196,0.259,8.6,6
8.1,0.732,0.283,0.84,0.083,28.1,52.3,0.996591,3.398,0.672,11.49,6
9.71,0.513,0.423,0.6,0.108,11.8,76.1,0.996892,3.166,0.539,11.1,6
4.91,0.33,0.043,2.17,0.11,22.5,6.0,0.996671,3.078,0.477,11.57,8
6.1,0.744,0.549,0.6,0.071,17.8,37.1,0.994561,3.174,0.732,9.67,5
5.78,0.643,0.419,1.1,0.125,23.7,73.8,0.995426,3.252,0.413,11.2,8
4.33,0.302,0.263,1.95,0.06,17.1,48.7,0.995521,3.258,0.797,8.9,3
7.15,0.85,0.393,0.63,0.114,1.6,94.8,0.99403,3.291,0.742,9.53,5
9.57,0.649,0.125,3.03,0.073,26.5,6.0,0.995742,3.465,0.592,10.53,5
7.82,0.528,0.16,3.54,0.099,15.0,9.1,0.994646,3.497,0.649,11.06,8
8.64,0.816,0.182,1.73,0.071,24.2,71.8,0.997798,3.611,0.458,12.08,3
10.15,0.559,0.082,1.89,0.089,23.1,75.0,0.997956,3.066,0.788,10.16,4
10.56,0.525,0.434,3.25,0.049,7.8,40.1,0.994242,3.182,0.692,9.53,5
8.18,0.411,0.496,1.5,0.096,6.3,59.7,0.996136,3.415,0.705,9.48,7
10.6,0.635,0.137,1.4,0.089,22.8,71.0,1.000227,3.242,0.745,9.71,5
8.46,0.616,0.336,4.18,0.068,12.7,19.7,0.994837,3.439,0.551,12.62,6
6.88,0.533,0.22,3.74,0.085,25.7,23.2,0.997511,3.341,0.402,11.16,4
7.29,0.388,0.332,3.34,0.092,14.0,52.7,0.9969,3.547,0.823,11.51,8
5.78,0.553,0.151,3.8,0.065,26.6,76.2,0.998776,3.466,0.777,10.16,7
6.79,0.517,0.102,0.6,0.082,20.3,8.1,0.997261,3.469,0.569,10.4,3
7.69,0.29,0.47,4.4,0.052,18.9,40.0,0.995881,3.248,0.73,11.1,7
9.67,0.265,0.258,3.05,0.169,12.0,38.5,0.996827,3.295,0.874,9.89,3
11.23,0.632,0.654,3.92,0.124,18.3,60.3,0.996855,3.264,0.854,10.11,6
5.95,0.08,0.279,3.04,0.097,28.4,46.2,0.996526,3.084,0.564,9.73,7
8.97,0.567,0.094,2.57,0.128,15.3,28.5,0.994194,3.531,0.407,9.95,8
6.53,0.444,0.503,2.11,0.018,21.5,87.6,0.999062,3.422,0.436,10.45,3
9.11,0.765,0.39,3.01,0.012,16.4,28.8,0.998726,3.258,0.607,9.58,4
8.08,0.441,0.408,2.06,0.073,17.2,36.9,0.994716,3.506,0.909,10.69,7
5.19,0.649,0.496,3.72,0.039,34.0,6.0,0.996129,3.215,0.536,10.68,4
9.88,0.459,0.146,0.6,0.079,28.5,23.0,0.996272,3.034,0.559,10.22,7
7.27,0.55,0.246,1.74,0.094,16.7,63.5,0.994503,3.461,0.555,9.57,4
7.39,0.663,0.237,5.36,0.119,18.2,57.0,0.993153,3.118,0.57,10.5,3
6.48,0.447,0.025,1.62,0.047,8.5,66.2,0.995426,3.281,0.658,9.9,6
7.19,0.709,0.22,2.17,0.101,14.1,64.6,0.996023,3.341,0.442,10.45,7
9.03,0.351,0.524,1.26,0.088,19.1,115.2,0.993962,3.368,0.844,11.5,4
7.98,0.583,0.315,2.97,0.099,24.8,21.9,0.997036,3.437,0.635,9.15,8
8.86,0.696,0.014,1.47,0.069,23.8,6.8,0.998909,3.397,1.081,12.57,8
8.92,0.649,0.026,2.24,0.135,4.3,11.9,0.9983,3.392,0.46,10.33,3
10.55,0.875,0.586,3.69,0.083,26.2,23.3,0.996459,3.191,0.93,10.81,4
7.72,0.393,0.253,1.52,0.149,15.0,14.4,0.993203,3.354,0.897,9.65,6
5.79,0.282,0.147,3.6,0.059,5.5,49.6,0.99806,3.084,0.59,11.54,5
10.11,0.351,0.218,3.65,0.113,29.9,87.7,0.996978,3.544,0.593,10.27,4
7.74,0.649,0.011,3.98,0.085,31.3,97.2,0.997506,3.1,0.503,10.01,6
10.19,0.62,0.54,2.7,0.076,18.7,63.1,1.000379,3.258,0.505,9.82,8
8.95,0.548,0.195,7.04,0.109,23.3,116.9,0.995133,3.112,0.66,10.13,4
8.08,0.328,0.53,3.98,0.077,24.0,34.8,0.991238,3.2,0.664,10.82,4
8.89,0.668,0.28,2.95,0.012,30.6,7.2,0.994698,3.312,0.388,10.57,7
11.62,0.31,0.542,1.27,0.02,23.5,81.1,0.997623,3.231,1.05,10.36,6
11.83,0.739,0.319,2.36,0.132,2.0,14.0,0.996751,3.482,0.616,9.69,7
8.42,1.044,0.432,4.5,0.13,37.0,21.7,0.99439,3.344,0.671,9.63,6
8.57,0.596,0.407,4.89,0.153,27.1,63.6,0.994003,3.241,0.554,9.94,7
10.13,0.635,0.388,4.57,0.086,10.5,43.1,0.996026,3.29,0.615,10.86,7
6.86,0.441,0.336,3.6,0.042,5.1,40.2,0.994332,3.493,0.599,11.06,6
8.87,0.204,0.226,0.74,0.072,21.2,7.7,0.997689,3.446,0.66,11.2,5
8.26,0.422,0.634,3.18,0.087,13.0,46.1,0.995918,3.139,0.658,10.4,5
8.83,0.333,0.098,0.76,0.052,19.4,79.5,0.995508,3.208,0.797,10.78,4
6.88,0.27,0.271,0.6,0.145,23.7,47.2,0.995259,3.381,0.699,10.23,5
5.6,0.84,0.273,2.83,0.165,10.0,19.2,0.9972,3.363,0.78,8.66,6
4.78,0.579,0.346,3.23,0.104,4.2,6.0,0.996781,3.152,0.658,10.18,7
6.4,0.598,0.188,3.76,0.087,20.0,19.9,0.997084,3.422,0.699,10.02,7
7.52,0.474,0.33,3.2,0.042,10.3,59.4,0.997042,3.176,0.619,9.36,5
7.8,0.499,0.238,3.24,0.141,17.4,57.8,0.996563,3.506,0.831,9.83,7
11.59,0.704,0.031,1.12,0.09,1.8,20.2,0.994737,3.389,0.715,10.54,5
10.18,0.524,0.272,2.35,0.077,13.3,26.2,0.995312,3.14,0.633,9.27,5
6.66,0.626,0.061,0.6,0.104,23.4,60.3,0.99595,3.231,0.628,9.69,3
8.89,0.495,0.06,0.6,0.067,22.3,17.0,1.000624,3.228,0.641,11.95,4
7.61,0.468,0.296,3.54,0.092,7.6,69.2,0.994137,3.334,0.665,8.8,7
7.82,0.277,0.363,1.45,0.037,3.6,21.6,0.995904,3.279,0.65,10.22,4
8.62,0.174,0.37,3.72,0.125,16.1,14.0,0.996887,3.138,0.565,9.23,3
9.35,0.483,0.378,4.05,0.083,21.8,51.5,0.996124,3.101,0.79,9.65,4
7.72,0.54,0.097,1.63,0.128,20.2,124.1,0.998741,3.392,0.801,10.2,8
10.11,0.298,0.011,3.33,0.08,10.5,71.1,0.996114,3.353,0.963,9.41,3
6.36,0.524,0.645,1.57,0.082,19.0,51.0,0.996254,3.326,0.557,10.97,3
8.31,0.54,0.071,0.6,0.045,31.7,58.3,0.998248,3.351,0.773,11.75,5
12.72,0.142,0.386,2.67,0.114,18.1,11.1,1.00014,3.217,0.335,11.24,5
8.68,0.365,0.139,1.84,0.056,1.2,9.6,0.999374,3.338,0.801,11.42,8
10.74,0.603,0.285,1.88,0.07,18.0,36.1,0.99644,3.691,0.412,9.02,4
8.46,0.6,0.15,5.27,0.087,37.4,103.4,0.996606,3.486,0.493,10.16,5
9.29,0.322,0.377,0.6,0.091,2.4,96.8,0.996789,3.267,0.716,10.87,4
8.2,0.559,0.296,3.04,0.027,16.2,59.4,0.996979,3.231,0.554,11.27,4
8.01,0.714,0.185,1.11,0.079,13.5,50.9,0.99509,2.881,0.531,12.15,4
6.97,0.67,0.07,3.77,0.115,16.9,6.0,0.99848,3.47,0.578,11.47,4
9.03,0.513,0.321,2.92,0.074,17.9,39.3,0.997093,3.428,0.784,11.3,7
6.85,0.446,0.04,3.03,0.079,27.9,105.5,0.996615,3.228,0.501,13.03,7
9.43,0.417,0.351,1.18,0.093,16.8,50.8,0.994285,3.095,0.651,10.5,4
10.14,0.614,0.769,1.43,0.083,29.3,27.9,0.996818,3.137,0.596,10.11,5
8.92,0.565,0.527,3.8,0.051,14.7,11.3,0.993103,3.377,0.799,10.58,4
7.81,0.643,0.406,4.98,0.086,12.2,91.9,0.995595,3.297,0.804,9.48,8
9.07,0.554,0.254,3.17,0.122,8.9,44.2,0.99563,3.414,0.348,10.47,3
7.78,0.677,0.098,1.24,0.05,3.2,11.3,0.997245,3.323,0.838,8.67,5
9.89,0.547,0.019,2.97,0.074,18.8,16.1,1.000272,3.455,0.556,9.87,4
5.19,0.671,0.514,5.9,0.039,37.5,6.0,0.997787,3.365,0.7,10.28,5
7.73,0.687,0.12,2.64,0.12,20.7,42.2,0.999452,3.434,0.5,11.35,8
4.92,0.385,0.137,4.55,0.084,23.1,53.3,0.997926,2.997,0.723,11.51,6
5.76,0.205,0.239,1.46,0.057,11.6,29.9,0.998838,3.125,1.094,9.44,5
10.62,0.808,0.068,2.44,0.09,13.3,72.1,1.000229,3.255,0.682,12.48,7
9.82,0.576,0.037,3.37,0.045,26.2,49.1,0.99531,3.472,0.582,10.55,7
7.08,0.221,0.26,3.06,0.051,37.0,81.5,0.995186,3.592,0.621,10.64,3
5.75,0.402,0.101,1.43,0.036,31.5,34.7,0.997971,3.285,0.41,8.78,5
4.0,0.669,0.129,1.37,0.05,24.4,146.7,0.996693,3.218,0.906,9.78,5
7.38,0.48,0.122,3.88,0.135,16.3,27.9,0.997119,3.017,0.713,11.45,5
12.41,0.438,0.369,4.17,0.061,18.1,16.8,0.996228,3.44,0.482,10.57,5
9.04,0.782,0.226,4.62,0.103,8.0,12.7,0.995567,3.227,0.487,10.51,7
7.35,0.341,0.236,5.03,0.058,1.0,39.6,0.999779,3.754,0.663,10.63,8
9.09,0.386,0.383,2.69,0.114,4.1,10.1,0.99461,3.199,0.818,8.96,3
5.65,0.568,0.243,2.06,0.051,16.4,56.2,0.998004,3.626,0.464,10.3,8
7.79,0.6,0.217,4.39,0.088,12.8,16.2,0.997696,3.422,0.849,11.81,8
8.47,0.619,0.359,3.5,0.089,1.0,51.8,0.9937,3.156,0.644,11.49,5
8.15,0.694,0.397,1.12,0.168,15.5,6.0,0.995122,3.345,0.502,10.27,5
9.64,0.566,0.242,1.05,0.109,12.6,34.0,0.995441,3.426,0.58,11.96,3
8.89,0.618,0.285,3.19,0.066,3.6,66.4,0.997773,3.276,0.957,9.14,5
9.44,0.483,0.121,2.25,0.111,12.0,122.3,0.996003,3.436,0.424,9.43,4
7.13,0.541,0.106,2.46,0.162,12.5,11.0,0.996537,3.432,0.536,12.26,8
9.83,0.549,0.416,4.0,0.03,9.4,41.6,0.99393,3.399,0.822,10.98,3
11.07,0.569,0.355,3.56,0.058,25.6,22.7,1.001119,3.308,0.697,10.11,5
6.65,0.669,0.357,4.36,0.079,4.1,17.9,0.996835,3.134,0.525,10.34,5
6.79,0.63,0.323,0.6,0.072,5.0,23.0,0.997648,3.298,0.824,9.59,8
10.57,0.538,0.279,2.85,0.075,15.9,73.6,0.995673,3.336,0.832,10.68,7
7.97,0.384,0.402,3.47,0.041,16.9,30.4,0.99546,3.029,0.716,10.6,8
10.69,0.542,0.448,0.6,0.136,20.1,120.5,1.000334,3.335,0.556,10.42,4
7.55,0.525,0.443,1.58,0.037,10.2,60.2,0.993058,3.295,0.582,9.24,4
10.77,0.565,0.251,1.32,0.08,6.3,13.3,0.997229,3.116,0.708,10.66,6
8.52,0.927,0.534,2.53,0.124,15.8,34.4,0.994398,3.26,0.437,9.87,5
8.74,0.436,0.313,4.78,0.086,11.3,20.1,0.99593,3.263,0.886,9.41,3
10.96,0.606,0.39,5.33,0.053,32.2,72.8,0.995488,3.6,0.949,11.67,7
7.68,0.722,0.324,1.36,0.04,12.5,7.4,0.994827,3.343,0.62,12.57,3
6.7,0.548,0.317,3.24,0.079,15.3,6.0,0.996767,3.465,0.721,12.34,4
7.54,0.951,0.13,3.28,0.061,41.9,27.0,0.991821,3.292,0.862,11.05,8
9.07,0.462,0.403,3.04,0.094,13.9,69.0,0.996101,3.029,0.992,10.13,7
5.64,0.588,0.811,3.06,0.038,21.7,87.1,0.996528,3.411,0.925,10.33,6
9.38,0.386,0.199,2.93,0.115,22.7,91.9,0.994117,3.211,0.365,10.81,3
7.38,0.467,0.283,4.86,0.091,23.6,63.9,0.999575,3.26,0.606,9.98,4
10.25,0.575,0.185,4.04,0.094,18.9,43.8,0.995571,3.152,0.745,11.72,4
4.23,0.682,0.177,1.02,0.137,17.9,72.6,0.996249,3.321,0.576,8.36,6
6.96,0.587,0.563,3.61,0.072,17.0,8.8,0.995575,3.47,0.963,10.1,6
5.43,0.757,0.142,3.75,0.062,9.9,14.2,0.996545,3.45,0.937,11.2,5
6.9,0.513,0.18,2.94,0.068,19.3,60.9,0.999185,3.548,0.521,9.55,7
8.72,0.47,0.032,4.08,0.08,37.2,13.4,1.001399,3.569,0.632,10.16,7
8.0,1.017,0.126,2.76,0.084,28.6,44.4,0.998117,3.003,0.533,10.99,7
7.87,0.601,0.055,2.78,0.058,19.1,50.4,0.998767,3.131,0.627,11.92,3
8.03,0.4,0.39,2.67,0.016,24.9,54.7,0.999961,3.039,0.622,9.11,6
8.65,0.405,0.802,0.6,0.067,6.8,77.4,0.997173,3.405,0.822,9.03,4
6.59,0.36,0.2,2.39,0.1,13.2,73.9,0.999683,3.206,0.509,9.45,4
9.5,0.699,0.047,1.56,0.092,25.9,52.9,0.998206,3.237,0.22,8.86,8
9.43,0.464,0.441,0.84,0.129,31.5,32.0,0.996974,3.278,0.387,8.93,5
8.95,0.553,0.132,4.51,0.155,7.8,50.0,0.997366,3.367,0.485,9.43,7
9.25,0.519,0.517,3.21,0.114,10.8,26.9,0.993239,3.087,0.549,11.63,4
8.8,0.662,0.216,2.46,0.135,38.8,40.0,0.997255,3.121,0.692,10.09,8
11.76,0.378,0.15,1.71,0.114,16.9,132.6,0.993767,3.31,0.476,10.43,4
8.15,0.336,0.236,2.91,0.147,35.0,52.5,0.993612,3.49,0.454,9.44,4
7.78,0.57,0.414,3.89,0.152,18.1,61.3,0.997066,3.306,0.502,11.03,4
7.02,0.638,0.227,1.34,0.12,18.5,23.3,0.994583,3.191,0.47,12.28,4
6.55,0.59,0.176,2.49,0.112,12.7,80.1,0.996686,2.988,0.566,9.51,6
6.18,0.384,0.232,3.72,0.08,25.8,71.5,0.996963,3.453,0.558,12.12,3
6.79,0.652,0.028,0.6,0.086,30.2,71.7,0.997048,3.2,0.777,10.76,4
8.18,0.396,0.345,2.42,0.075,5.0,53.6,0.994982,3.138,0.492,10.42,7
8.87,0.436,0.069,1.9,0.109,12.2,80.5,0.998407,3.053,0.599,10.8,3
8.39,0.36,0.186,2.31,0.062,25.5,88.3,0.99653,3.094,0.567,10.79,5
7.0,0.764,0.414,1.8,0.08,14.5,55.8,0.997538,3.166,0.798,12.26,7
9.83,0.644,0.328,2.69,0.012,10.7,42.7,0.994427,3.274,0.634,10.92,5
9.56,0.639,0.382,5.19,0.147,26.5,75.9,0.996361,3.129,0.839,10.94,3
8.03,0.754,0.258,2.05,0.079,27.5,16.8,0.998785,3.338,0.464,9.98,3
7.19,1.036,0.492,2.91,0.103,11.2,22.9,0.998543,3.273,0.652,11.24,8
9.23,0.222,0.446,5.29,0.138,18.1,44.7,0.995185,3.643,0.562,9.44,7
8.62,0.397,0.355,1.73,0.098,3.2,10.8,0.995663,3.054,0.452,10.51,5
5.84,0.419,0.446,5.04,0.138,6.5,73.7,0.994821,3.334,0.649,13.28,8
8.18,0.377,0.413,2.51,0.044,17.2,14.8,0.995453,3.336,0.955,8.0,3
8.75,0.336,0.187,4.99,0.171,16.2,31.0,0.994042,3.155,0.515,10.63,3
6.77,0.476,0.015,3.55,0.125,5.7,39.5,0.996437,3.324,0.638,10.67,8
8.62,0.311,0.35,2.93,0.094,8.4,47.8,0.997903,3.425,0.437,10.17,7
5.83,0.59,0.374,2.41,0.137,4.7,35.2,0.995208,3.324,0.412,10.2,6
10.57,0.539,0.477,1.63,0.046,20.7,44.3,0.996528,3.518,0.526,10.49,5
10.42,0.617,0.092,2.61,0.077,4.8,44.5,0.996281,2.983,0.584,10.15,7
7.87,0.621,0.098,3.76,0.138,5.3,31.8,0.998705,3.184,0.591,10.62,6
8.92,0.639,0.357,2.48,0.022,3.7,21.1,0.995538,3.531,0.622,9.91,5
4.2,0.463,0.256,2.06,0.107,20.3,82.1,0.995607,3.447,0.38,12.42,5
6.33,0.912,0.088,2.15,0.106,3.0,22.7,0.995093,3.391,0.554,10.15,5
7.8,0.572,0.341,3.89,0.156,16.2,39.7,0.994539,3.495,0.745,10.97,6
6.48,0.195,0.082,4.22,0.032,33.1,31.1,0.997705,3.023,0.429,9.73,6
9.51,0.35,0.09,1.57,0.143,33.5,60.3,0.996443,3.429,0.6,11.33,7
11.7,0.217,0.527,1.56,0.067,3.1,6.0,0.996804,3.47,0.71,11.13,5
6.3,0.533,0.617,3.03,0.071,19.0,30.1,0.999122,3.211,0.527,10.82,4
6.88,0.508,0.039,4.64,0.044,5.5,43.1,0.999231,3.704,0.718,9.37,6
8.7,0.446,0.207,4.1,0.049,3.4,81.7,0.993572,3.339,0.401,9.65,6
11.04,0.892,0.278,0.75,0.101,14.7,57.4,0.997931,2.981,0.811,12.09,4
